date,open,high,low,close,adj_close,volume
1/2/2015,54.279999,54.599998,53.07,53.91,51.07991,10748600
1/5/2015,54.369999,54.540001,53.34,53.880001,51.051506,11565000
1/6/2015,54.27,54.43,52.130001,53.040001,50.255585,13772200
1/7/2015,53.380001,53.650002,52.119999,53.009998,50.227165,10069800
1/8/2015,53.48,54.279999,53.25,53.66,50.843037,9672100
1/9/2015,53.669998,53.91,51.82,52.02,49.289127,12351600
1/12/2015,51.060001,51.450001,49.200001,49.580002,46.977226,18261300
1/13/2015,50.119999,51.43,49.459999,50.400002,47.754173,12259300
1/14/2015,49.41,50.23,48.099998,49.41,46.816139,15684700
1/15/2015,49.139999,50.400002,48.580002,49.41,46.816139,10396900
1/16/2015,49.380001,49.970001,48.27,49.810001,47.195156,12978000
1/20/2015,51,52.830002,49.93,52.75,49.980804,15157300
1/21/2015,52.650002,54,51.950001,53.669998,50.852509,12882200
1/22/2015,54.52,55.82,53.91,55.59,52.671711,16201100
1/23/2015,55.400002,55.98,54.799999,55.689999,52.766472,9488800
1/26/2015,55.889999,56.200001,54.73,55.450001,52.53907,13353900
1/27/2015,53.990002,54.52,52.540001,52.700001,49.93343,19810700
1/28/2015,52.790001,53.700001,50.299999,50.619999,47.962631,17064800
1/29/2015,51.049999,52.419998,50.57,52.240002,49.497585,16618900
1/30/2015,52.02,52.130001,48.630001,49.080002,46.503475,18473100
2/2/2015,48.580002,48.93,46.209999,48.720001,46.162373,22413100
2/3/2015,47.299999,48.16,46.549999,47.5,45.006413,16678900
2/4/2015,48.619999,49.790001,48.23,49.459999,46.863522,11836800
2/5/2015,49.459999,49.459999,47.599998,48.810001,46.341339,9220900
2/6/2015,48.84,49.470001,47.889999,48.150002,45.714714,8650100
2/9/2015,46.41,47.240002,45.950001,46.529999,44.176659,12961900
2/10/2015,47.400002,48.380001,46.900002,48.049999,45.619781,9085300
2/11/2015,48.790001,48.950001,47.349998,47.59,45.183044,10060200
2/12/2015,46.75,48.5,46.400002,47.880001,45.45837,9542800
2/13/2015,47.529999,48.400002,46.650002,48.389999,45.942577,9895700
2/17/2015,48.77,49.450001,47.860001,48.009998,45.58181,7260500
2/18/2015,48.599998,49.450001,48.18,49.310001,46.816048,8752700
2/19/2015,50.779999,50.799999,49.59,49.779999,47.262295,11462600
2/20/2015,49.810001,51.119999,49.130001,51.02,48.43956,10537900
2/23/2015,51.75,52.200001,50.950001,51.310001,48.714901,9508700
2/24/2015,50.290001,51.560001,49.360001,51.52,48.914272,13916700
2/25/2015,51.299999,51.490002,49.459999,49.73,47.214802,9577000
2/26/2015,50.380001,50.380001,49.02,49.349998,46.854031,7577300
2/27/2015,49,49.400002,47.849998,47.900002,45.477364,9396400
3/2/2015,48.200001,48.57,47.849998,48.310001,45.866631,11482900
3/3/2015,47.900002,49.029999,47.75,48.77,46.303356,9051200
3/4/2015,48.849998,48.959999,47.98,48.950001,46.474258,6711000
3/5/2015,49.189999,49.200001,47.779999,48.400002,45.952065,7041000
3/6/2015,48.330002,48.939999,47.900002,48,45.572308,7002300
3/9/2015,48.049999,48.580002,47.580002,47.919998,45.496353,7460200
3/10/2015,47.5,47.580002,46.470001,46.740002,44.376034,9337100
3/11/2015,46.900002,47.889999,46.580002,47.389999,44.993164,6630300
3/12/2015,47.57,48.720001,47.560001,48.68,46.217911,7133500
3/13/2015,48.75,49.490002,48.279999,49.220001,46.730614,9188000
3/16/2015,49.77,50.450001,49.450001,50.220001,47.680023,10897800
3/17/2015,52.630001,54.18,52.5,53.689999,50.974529,41837900
3/18/2015,53.689999,54.599998,53.34,54.130001,51.392277,21325000
3/19/2015,54.57,55.240002,54.450001,55.189999,52.398659,18897700
3/20/2015,55.189999,56.049999,54.860001,55.759998,52.939823,137767200
3/23/2015,55.470001,55.93,54.369999,54.400002,51.648605,19042000
3/24/2015,54.040001,54.41,53.66,53.93,51.202389,11940800
3/25/2015,53.619999,53.779999,51.93,52.009998,49.37949,14237900
3/26/2015,50.84,51.689999,50.25,51.27,48.676918,14242700
3/27/2015,51.380001,52.849998,51.380001,52.66,49.996616,9004000
3/30/2015,53.240002,53.84,53.049999,53.639999,50.927044,8167300
3/31/2015,53.66,53.73,52.68,52.779999,50.110546,8386400
4/1/2015,51.099998,51.380001,50.110001,50.439999,47.888893,15191500
4/2/2015,50.48,50.849998,49.150002,49.18,46.692627,14109800
4/6/2015,48.349998,48.689999,47.669998,48.080002,45.648262,13323400
