Date,Open,High,Low,Close,Adj Close,Volume
1/2/2009,7.315,7.445,7.1375,7.3975,6.652286,4737600
1/5/2009,7.335,7.6425,7.2375,7.5075,6.751204,5855600
1/6/2009,7.4575,7.7375,7.4575,7.69,6.915319,5419200
1/7/2009,7.545,7.7375,7.4775,7.625,6.856867,4759200
1/8/2009,7.525,7.6625,7.4425,7.645,6.874852,3993600
1/9/2009,7.6275,7.6275,7.265,7.4925,6.737714,3077200
1/12/2009,7.55,7.625,7.2625,7.39,6.645542,2803200
1/13/2009,7.385,7.525,7.1875,7.2475,6.517396,2448000
1/14/2009,7.11,7.2625,6.8175,6.9375,6.238626,3122800
1/15/2009,6.9925,7.295,6.6725,7.0025,6.297078,4861200
1/16/2009,7.1025,7.5,7.055,7.4475,6.697249,3652400
1/20/2009,7.3725,7.425,7.0275,7.05,6.339792,3376400
1/21/2009,7.145,7.1475,6.2825,6.53,5.872175,6172000
1/22/2009,6.405,6.6275,6.34,6.555,5.894657,3408400
1/23/2009,6.395,6.88,6.3625,6.64,5.971094,3186800
1/26/2009,6.655,6.745,6.4225,6.5325,5.874424,1967600
1/27/2009,6.555,6.555,6.13,6.29,5.656354,2774800
1/28/2009,6.4125,6.7125,6.2775,6.6525,5.982336,2364000
1/29/2009,6.525,7.5275,6.4975,6.89,6.195911,7230000
1/30/2009,6.8675,6.9975,6.3175,6.59,5.926131,5182000
2/2/2009,6.5425,6.815,6.35,6.755,6.07451,4706800
2/3/2009,6.75,6.795,6.4875,6.645,5.975591,2805600
2/4/2009,6.645,6.9925,6.5325,6.5575,5.896905,3237600
2/5/2009,6.5,7.115,6.39,6.905,6.209398,3504400
2/6/2009,6.965,7.355,6.85,7.23,6.50166,4734000
2/9/2009,7.185,7.32,7.04,7.18,6.456696,2392000
2/10/2009,7.0525,7.32,6.9,6.9975,6.29258,3267200
2/11/2009,7.05,7.1025,6.665,6.7675,6.085752,4327200
2/12/2009,6.805,7.2875,6.7675,7.2375,6.508404,5237600
2/13/2009,7.2125,7.355,7.0325,7.1525,6.431967,2554800
2/17/2009,7.1925,7.49,6.9825,7.37,6.627556,5087600
2/18/2009,7.3175,7.3675,6.7,6.7875,6.103736,4988400
2/19/2009,6.8275,6.9375,6.555,6.6025,5.937372,2566800
2/20/2009,6.505,6.62,5.7675,6.0675,5.456269,5369200
2/23/2009,6.1275,6.3475,5.805,5.97,5.36859,4607200
2/24/2009,6.07,6.0925,5.785,5.99,5.386576,3596400
2/25/2009,5.9325,5.9325,5.2875,5.5675,5.006639,5699600
2/26/2009,5.5325,5.8575,5.295,5.745,5.166257,5872400
2/27/2009,5.6275,5.7675,5.4325,5.4775,4.925704,4048400
3/2/2009,5.3675,5.525,5.115,5.1475,4.628947,3727200
3/3/2009,5.1625,5.225,4.55,4.6,4.136603,4693600
3/4/2009,4.6675,4.7775,4.4475,4.545,4.087142,3682800
3/5/2009,4.5,4.5,3.6425,3.7,3.327267,9448400
3/6/2009,3.6875,3.8525,3.6225,3.77,3.390215,4637200
3/9/2009,3.7325,3.8375,3.4375,3.485,3.133926,6224400
3/10/2009,3.4825,3.675,3.4025,3.6375,3.271063,5824800
3/11/2009,3.67,4.045,3.57,3.9525,3.554331,7582800
3/12/2009,3.8875,4.2475,3.8025,4.18,3.758912,3966000
3/13/2009,4.245,4.4475,4.235,4.315,3.880312,2570400
3/16/2009,4.3175,4.475,4.085,4.1075,3.693716,4289600
3/17/2009,4.125,4.5775,4.0375,4.575,4.11412,4108400
3/18/2009,4.575,4.6825,4.19,4.5175,4.062413,3791600
3/19/2009,4.5,4.555,4.14,4.2075,3.783642,2946800
3/20/2009,4.2075,4.2875,4.115,4.125,3.709453,2826000
3/23/2009,4.2325,4.395,3.98,4.395,3.952253,2904400
3/24/2009,4.3325,4.3325,4.08,4.2075,3.783642,3583600
3/25/2009,4.16,4.5525,4.16,4.3175,3.882561,2804000
3/26/2009,4.3825,4.81,4.3625,4.6625,4.192805,3250400
3/27/2009,4.5275,4.68,4.465,4.5175,4.062413,2281600
3/30/2009,4.4425,4.4825,4.12,4.1875,3.765657,3836800
3/31/2009,4.2275,4.505,4.075,4.3925,3.950005,3081600
4/1/2009,4.3725,4.5425,4.2,4.5175,4.062413,2269200
4/2/2009,4.5875,5.03,4.58,5.02,4.514291,4752800
4/3/2009,4.96,5.08,4.855,4.945,4.446846,2190400
4/6/2009,4.8775,5.225,4.8125,5.04,4.532277,3378800
4/7/2009,4.935,5.1075,4.775,4.7775,4.296221,2481200
4/8/2009,4.795,4.9925,4.7775,4.925,4.428864,1298000
4/9/2009,5.0825,5.52,5.01,5.485,4.932448,2427200
4/13/2009,5.41,5.48,5.27,5.395,4.851514,2341600
4/14/2009,5.2975,5.4475,4.91,4.965,4.464832,2402800
4/15/2009,4.91,5.265,4.71,5.145,4.626698,2910000
4/16/2009,5.1575,5.2075,4.8175,5.065,4.554759,2752000
4/17/2009,5.065,5.18,4.8125,4.95,4.451344,3423200
4/20/2009,4.8175,4.92,4.57,4.6825,4.210792,3585200
4/21/2009,4.6775,5.075,4.5425,4.9525,4.453591,2516800
4/22/2009,4.9225,5.2575,4.8675,4.955,4.455841,2724400
4/23/2009,4.9775,4.9775,4.045,4.345,3.907291,8406000
4/24/2009,4.4525,4.595,4.375,4.455,4.00621,3188400
4/27/2009,4.23,4.2425,3.9675,4.1375,3.720693,6728000
4/28/2009,4.0825,4.435,4.0275,4.13,3.713949,4361200
4/29/2009,4.21,4.3975,4.14,4.27,3.839846,3480000
4/30/2009,4.3225,4.39,4.1525,4.195,3.772402,2573600
5/1/2009,4.26,4.33,4.1475,4.315,3.880312,2193200
5/4/2009,4.43,4.59,4.3125,4.5725,4.111873,3869200
5/5/2009,4.5575,4.7675,4.5375,4.67,4.19955,3894800
5/6/2009,4.7175,4.77,4.42,4.5825,4.120865,2654800
5/7/2009,4.6075,4.6525,4.2875,4.3375,3.900547,3107600
5/8/2009,4.395,4.4775,4.2925,4.375,3.934268,3486400
5/11/2009,4.2725,4.36,4.075,4.305,3.87132,3556800
5/12/2009,4.2475,4.335,4,4.1525,3.734183,3527200
5/13/2009,4.025,4.1275,3.945,3.98,3.57906,2860400
5/14/2009,3.9,4.1825,3.6325,3.975,3.574563,5312400
5/15/2009,3.9475,4.0675,3.9075,3.995,3.592549,4153200
5/18/2009,4.03,4.12,3.9375,4.1175,3.702709,2502800
5/19/2009,4.1125,4.125,3.8625,3.9175,3.522856,6228400
5/20/2009,4.0175,4.2325,3.9825,3.9925,3.590301,6558800
5/21/2009,4.0175,4.1225,3.95,4.0925,3.680228,3914400
5/22/2009,4.1375,4.1875,3.975,4.0325,3.626271,2386400
5/26/2009,3.9725,4.1575,3.9725,4.0375,3.630768,3803200
5/27/2009,4.035,4.07,3.76,3.7825,3.401456,4490000
5/28/2009,3.865,3.8875,3.75,3.7675,3.387967,4518000
5/29/2009,3.77,3.9425,3.7275,3.8925,3.500374,2945200
6/1/2009,3.99,4.05,3.9025,3.9625,3.563323,3241200
6/2/2009,3.985,4.2225,3.97,4.065,3.655498,4086400
6/3/2009,4.01,4.0875,3.95,4.045,3.637513,3576800
6/4/2009,4.045,4.0675,3.8525,3.92,3.525104,2801200
6/5/2009,3.99,4.0175,3.85,3.9775,3.576812,2854400
6/8/2009,3.96,3.995,3.8675,3.9575,3.558827,3915200
6/9/2009,3.96,4.0375,3.865,3.9975,3.594797,2551600
6/10/2009,4.025,4.0525,3.8625,3.9225,3.527352,3118800
6/11/2009,3.9175,4.0225,3.845,3.9,3.507119,2982000
6/12/2009,3.91,4.12,3.8875,4.095,3.682474,2928000
6/15/2009,3.985,4.1125,3.955,4.075,3.66449,2911600
6/16/2009,4.125,4.29,4.125,4.155,3.736431,3533600
6/17/2009,4.205,4.365,4.145,4.3025,3.869072,3290000
6/18/2009,4.345,4.5725,4.1925,4.5175,4.062413,3998800
6/19/2009,4.58,4.5875,4.4175,4.465,4.015202,3103600
6/22/2009,4.39,4.4275,4.25,4.25,3.821861,2686400
6/23/2009,4.245,4.27,4.0175,4.1275,3.711701,2867200
6/24/2009,4.165,4.3325,4.085,4.175,3.754416,2563600
6/25/2009,4.1575,4.48,4.1575,4.47,4.019698,3844800
6/26/2009,4.465,4.5175,4.4125,4.4875,4.035436,2167600
6/29/2009,4.4875,4.6575,4.4425,4.605,4.141098,2441200
6/30/2009,4.605,4.605,4.4675,4.565,4.105127,1546000
7/1/2009,4.5375,4.6975,4.5375,4.675,4.204046,2313600
7/2/2009,4.5775,4.65,4.4825,4.5875,4.125362,1462000
7/6/2009,4.6075,4.75,4.6025,4.71,4.235521,1826800
7/7/2009,4.6875,4.73,4.5375,4.68,4.208543,1928000
7/8/2009,4.715,4.7925,4.6425,4.74,4.262498,2056400
7/9/2009,4.7875,4.7875,4.685,4.7,4.226529,1280800
7/10/2009,4.7,5.1325,4.7,5.085,4.572744,3815600
7/13/2009,5.1125,5.2225,4.945,5.19,4.667166,2128400
7/14/2009,5.1875,5.2975,5.1375,5.1825,4.660421,2883600
7/15/2009,5.285,5.4025,5.1825,5.3725,4.831282,2750800
7/16/2009,5.385,5.4,5.16,5.33,4.793063,1502800
7/17/2009,5.345,5.365,5.215,5.285,4.752595,1273600
7/20/2009,5.3325,5.5625,5.2225,5.5075,4.952682,2038000
7/21/2009,5.52,5.52,5.03,5.1875,4.664917,2623600
