date,weather_delay
2019-01-01,67.0
2019-01-02,90.0
2019-01-03,347.0
2019-01-04,38.0
2019-01-05,0.0
2019-01-06,40.0
2019-01-07,0.0
2019-01-08,382.0
2019-01-09,0.0
2019-01-10,124.0
2019-01-11,160.0
2019-01-12,39.0
2019-01-13,1535.0
2019-01-14,35.0
2019-01-15,70.0
2019-01-16,7.0
2019-01-17,369.0
2019-01-18,45.0
2019-01-19,20.0
2019-01-20,2213.0
2019-01-21,724.0
2019-01-22,1631.0
2019-01-23,1101.0
2019-01-24,280.0
2019-01-25,154.0
2019-01-26,169.0
2019-01-27,76.0
2019-01-28,1166.0
2019-01-29,168.0
2019-01-30,2058.0
2019-01-31,1209.0
2019-02-01,274.0
2019-02-02,510.0
2019-02-03,478.0
2019-02-04,258.0
2019-02-05,220.0
2019-02-06,114.0
2019-02-07,602.0
2019-02-08,189.0
2019-02-09,220.0
2019-02-10,772.0
2019-02-11,65.0
2019-02-12,1046.0
2019-02-13,730.0
2019-02-14,5.0
2019-02-15,35.0
2019-02-16,0.0
2019-02-17,490.0
2019-02-18,535.0
2019-02-19,1933.0
2019-02-20,2697.0
2019-02-21,526.0
2019-02-22,1374.0
2019-02-23,135.0
2019-02-24,1167.0
2019-02-25,74.0
2019-02-26,73.0
2019-02-27,70.0
2019-02-28,584.0
2019-03-01,331.0
2019-03-02,652.0
2019-03-03,1231.0
2019-03-04,208.0
2019-03-05,149.0
2019-03-06,42.0
2019-03-07,74.0
2019-03-08,106.0
2019-03-09,752.0
2019-03-10,18.0
2019-03-11,53.0
2019-03-12,25.0
2019-03-13,66.0
2019-03-14,1430.0
2019-03-15,293.0
2019-03-16,23.0
2019-03-17,29.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,14.0
2019-03-23,9.0
2019-03-24,983.0
2019-03-25,45.0
2019-03-26,656.0
2019-03-27,76.0
2019-03-28,76.0
2019-03-29,12.0
2019-03-30,0.0
2019-03-31,25.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.0
2019-04-04,52.0
2019-04-05,118.0
2019-04-06,42.0
2019-04-07,172.0
2019-04-08,242.0
2019-04-09,56.0
2019-04-10,98.0
2019-04-11,1254.0
2019-04-12,237.0
2019-04-13,219.0
2019-04-14,885.0
2019-04-15,152.0
2019-04-16,99.0
2019-04-17,0.0
2019-04-18,340.0
2019-04-19,1663.0
2019-04-20,867.0
2019-04-21,32.0
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,37.0
2019-04-25,46.0
2019-04-26,330.0
2019-04-27,29.0
2019-04-28,0.0
2019-04-29,147.0
2019-04-30,145.0
2019-05-01,55.0
2019-05-02,482.0
2019-05-03,393.0
2019-05-04,339.0
2019-05-05,1102.0
2019-05-06,332.0
2019-05-07,588.0
2019-05-08,1400.0
2019-05-09,229.0
2019-05-10,554.0
2019-05-11,214.0
2019-05-12,378.0
2019-05-13,686.0
2019-05-14,80.0
2019-05-15,0.0
2019-05-16,89.0
2019-05-17,228.0
2019-05-18,833.0
2019-05-19,99.0
2019-05-20,702.0
2019-05-21,144.0
2019-05-22,38.0
2019-05-23,239.0
2019-05-24,135.0
2019-05-25,0.0
2019-05-26,76.0
2019-05-27,966.0
2019-05-28,358.0
2019-05-29,407.0
2019-05-30,51.0
2019-05-31,248.0
2019-06-01,392.0
2019-06-02,171.0
2019-06-03,217.0
2019-06-04,35.0
2019-06-05,234.0
2019-06-06,268.0
2019-06-07,411.0
2019-06-08,4188.0
2019-06-09,497.0
2019-06-10,406.0
2019-06-11,246.0
2019-06-12,68.0
2019-06-13,170.0
2019-06-14,226.0
2019-06-15,69.0
2019-06-16,613.0
2019-06-17,229.0
2019-06-18,521.0
2019-06-19,872.0
2019-06-20,146.0
2019-06-21,264.0
2019-06-22,108.0
2019-06-23,2133.0
2019-06-24,912.0
2019-06-25,178.0
2019-06-26,152.0
2019-06-27,116.0
2019-06-28,407.0
2019-06-29,1381.0
2019-06-30,163.0
2019-07-01,0.0
2019-07-02,69.0
2019-07-03,352.0
2019-07-04,445.0
2019-07-05,1437.0
2019-07-06,842.0
2019-07-07,665.0
2019-07-08,642.0
2019-07-09,165.0
2019-07-10,356.0
2019-07-11,192.0
2019-07-12,95.0
2019-07-13,25.0
2019-07-14,3.0
2019-07-15,280.0
2019-07-16,299.0
2019-07-17,1108.0
2019-07-18,980.0
2019-07-19,3005.0
2019-07-20,881.0
2019-07-21,492.0
2019-07-22,1026.0
2019-07-23,888.0
2019-07-24,280.0
2019-07-25,377.0
2019-07-26,116.0
2019-07-27,120.0
2019-07-28,105.0
2019-07-29,170.0
2019-07-30,263.0
2019-07-31,769.0
2019-08-01,1059.0
2019-08-02,99.0
2019-08-03,332.0
2019-08-04,1045.0
2019-08-05,382.0
2019-08-06,519.0
2019-08-07,1437.0
2019-08-08,689.0
2019-08-09,55.0
2019-08-10,161.0
2019-08-11,278.0
2019-08-12,144.0
2019-08-13,780.0
2019-08-14,420.0
2019-08-15,820.0
2019-08-16,0.0
2019-08-17,268.0
2019-08-18,449.0
2019-08-19,577.0
2019-08-20,861.0
2019-08-21,774.0
2019-08-22,178.0
2019-08-23,419.0
2019-08-24,309.0
2019-08-25,29.0
2019-08-26,592.0
2019-08-27,767.0
2019-08-28,47.0
2019-08-29,295.0
2019-08-30,1505.0
2019-08-31,0.0
2019-09-01,11.0
2019-09-02,6.0
2019-09-03,75.0
2019-09-04,56.0
2019-09-05,0.0
2019-09-06,949.0
2019-09-07,5.0
2019-09-08,0.0
2019-09-09,16.0
2019-09-10,390.0
2019-09-11,224.0
2019-09-12,250.0
2019-09-13,57.0
2019-09-14,6.0
2019-09-15,22.0
2019-09-16,289.0
2019-09-17,0.0
2019-09-18,36.0
2019-09-19,188.0
2019-09-20,0.0
2019-09-21,14.0
2019-09-22,0.0
2019-09-23,133.0
2019-09-24,12.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,1993.0
2019-09-28,21.0
2019-09-29,0.0
2019-09-30,45.0
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,149.0
2019-10-04,52.0
2019-10-05,157.0
2019-10-06,181.0
2019-10-07,211.0
2019-10-08,0.0
2019-10-09,13.0
2019-10-10,40.0
2019-10-11,338.0
2019-10-12,7.0
2019-10-13,67.0
2019-10-14,11.0
2019-10-15,2.0
2019-10-16,50.0
2019-10-17,373.0
2019-10-18,17.0
2019-10-19,499.0
2019-10-20,815.0
2019-10-21,873.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,1.0
2019-10-25,662.0
2019-10-26,136.0
2019-10-27,0.0
2019-10-28,493.0
2019-10-29,684.0
2019-10-30,199.0
2019-10-31,218.0
2019-11-01,33.0
2019-11-02,118.0
2019-11-03,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.0
2019-11-07,123.0
2019-11-08,30.0
2019-11-09,0.0
2019-11-10,27.0
2019-11-11,2156.0
2019-11-12,599.0
2019-11-13,0.0
2019-11-14,23.0
2019-11-15,4.0
2019-11-16,20.0
2019-11-17,27.0
2019-11-18,0.0
2019-11-19,25.0
2019-11-20,150.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,15.0
2019-11-25,0.0
2019-11-26,73.0
2019-11-27,811.0
2019-11-28,293.0
2019-11-29,186.0
2019-11-30,24.0
2019-12-01,1106.0
2019-12-02,376.0
2019-12-03,1415.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,90.0
2019-12-07,16.0
2019-12-08,27.0
2019-12-09,71.0
2019-12-10,0.0
2019-12-11,815.0
2019-12-12,188.0
2019-12-13,181.0
2019-12-14,158.0
2019-12-15,93.0
2019-12-16,404.0
2019-12-17,1144.0
2019-12-18,141.0
2019-12-19,74.0
2019-12-20,7.0
2019-12-21,15.0
2019-12-22,247.0
2019-12-23,24.0
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-28,509.0
2019-12-29,102.0
2019-12-30,521.0
2019-12-31,274.0
2019-01-01,1.0
2019-01-02,53.0
2019-01-03,0.0
2019-01-04,9.0
2019-01-05,107.0
2019-01-06,11.0
2019-01-07,0.0
2019-01-08,47.0
2019-01-09,20.0
2019-01-10,75.0
2019-01-11,28.0
2019-01-12,7.0
2019-01-13,154.0
2019-01-14,0.0
2019-01-15,23.0
2019-01-16,0.0
2019-01-17,15.0
2019-01-18,81.0
2019-01-19,3388.0
2019-01-20,463.0
2019-01-21,190.0
2019-01-22,93.0
2019-01-23,62.0
2019-01-24,38.0
2019-01-25,11.0
2019-01-26,0.0
2019-01-27,901.0
2019-01-28,3324.0
2019-01-29,344.0
2019-01-30,667.0
2019-01-31,274.0
2019-02-01,94.0
2019-02-02,37.0
2019-02-03,0.0
2019-02-04,2.0
2019-02-05,477.0
2019-02-06,71.0
2019-02-07,7.0
2019-02-08,775.0
2019-02-09,237.0
2019-02-10,265.0
2019-02-11,142.0
2019-02-12,240.0
2019-02-13,577.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-16,31.0
2019-02-17,681.0
2019-02-18,52.0
2019-02-19,18.0
2019-02-20,1552.0
2019-02-21,22.0
2019-02-22,417.0
2019-02-23,50.0
2019-02-24,0.0
2019-02-25,207.0
2019-02-26,198.0
2019-02-27,38.0
2019-02-28,42.0
2019-03-01,151.0
2019-03-02,101.0
2019-03-03,177.0
2019-03-04,282.0
2019-03-05,437.0
2019-03-06,15.0
2019-03-07,9.0
2019-03-08,1236.0
2019-03-09,0.0
2019-03-10,49.0
2019-03-11,0.0
2019-03-12,10.0
2019-03-13,0.0
2019-03-14,303.0
2019-03-15,644.0
2019-03-16,7.0
2019-03-17,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,18.0
2019-03-23,0.0
2019-03-24,0.0
2019-03-25,0.0
2019-03-26,17.0
2019-03-27,52.0
2019-03-28,0.0
2019-03-29,0.0
2019-03-30,4.0
2019-03-31,0.0
2019-04-01,9.0
2019-04-02,59.0
2019-04-03,0.0
2019-04-04,23.0
2019-04-05,29.0
2019-04-06,106.0
2019-04-07,332.0
2019-04-08,73.0
2019-04-09,0.0
2019-04-10,35.0
2019-04-11,28.0
2019-04-12,3.0
2019-04-13,19.0
2019-04-14,1972.0
2019-04-15,20.0
2019-04-16,0.0
2019-04-17,0.0
2019-04-18,145.0
2019-04-19,1656.0
2019-04-20,108.0
2019-04-21,7.0
2019-04-22,8.0
2019-04-23,0.0
2019-04-24,43.0
2019-04-25,0.0
2019-04-26,578.0
2019-04-27,375.0
2019-04-28,17.0
2019-04-29,53.0
2019-04-30,0.0
2019-05-01,866.0
2019-05-02,1025.0
2019-05-03,247.0
2019-05-04,81.0
2019-05-05,210.0
2019-05-06,193.0
2019-05-07,968.0
2019-05-08,752.0
2019-05-09,816.0
2019-05-10,78.0
2019-05-11,60.0
2019-05-12,116.0
2019-05-13,445.0
2019-05-14,34.0
2019-05-15,0.0
2019-05-16,8.0
2019-05-17,38.0
2019-05-18,496.0
2019-05-19,1631.0
2019-05-20,1381.0
2019-05-21,32.0
2019-05-22,0.0
2019-05-23,603.0
2019-05-24,187.0
2019-05-25,0.0
2019-05-26,994.0
