AA,AAL,ALK,DE
48.430889,31.963158,84.18,59.86005
44.099281,29.581665,80.0,56.551785
46.207077,31.530161,82.68,58.381065
46.265083,32.425678,83.230003,58.497826
45.897671,31.90411,82.379997,59.013531
46.864552,32.888195,83.760002,60.502247
47.11594,31.530161,81.370003,61.689327
46.951572,31.293978,80.07,62.409355
46.1684,31.205412,79.910004,62.623421
46.245754,31.589203,81.199997,62.545582
45.926674,32.317429,86.360001,63.148849
46.622829,33.04565,86.739998,62.681805
46.516476,33.429447,85.589996,63.109936
45.539925,32.219025,83.339996,62.234219
45.733299,31.146362,82.879997,61.990959
45.946014,33.124378,84.029999,64.005104
46.110386,34.423374,84.139999,61.767166
46.419785,35.988079,84.599998,62.788834
46.622829,35.712532,85.669998,62.81802
48.604935,35.761734,87.470001,62.915329
47.792755,35.200806,87.269997,62.224483
48.266521,35.535397,87.489998,62.623421
48.672607,36.194733,88.620003,62.740189
48.86599,36.441425,89.459999,62.993164
48.846649,36.273674,89.75,63.071011
48.740292,35.691479,87.860001,63.469952
48.798309,35.523724,88.169998,63.508865
48.933666,36.105923,89.150002,64.51107
48.237518,35.277035,87.970001,64.890556
48.740292,35.730949,88.580002,64.900284
48.807976,35.632275,88.150002,64.773788
49.3881,34.586296,88.309998,64.871605
50.103588,35.00074,89.239998,63.15004
49.542801,34.596169,88.5,61.956684
49.774849,34.517223,88.839996,61.487167
49.81353,35.020477,89.43,61.037216
49.707169,35.425053,89.580002,61.379574
49.426773,35.770424,89.529999,61.565422
48.759636,35.217827,87.599998,60.626389
48.27282,35.158627,87.809998,60.352505
47.669159,34.181721,86.919998,59.971024
47.503643,33.273891,84.309998,58.20055
48.409122,32.790375,85.050003,56.518116
48.399384,32.326591,84.330002,54.610706
48.282551,31.793737,82.610001,54.728077
48.282551,31.487839,82.400002,54.405285
49.772213,31.625988,82.379997,54.209652
49.334076,30.510937,79.849998,52.908699
49.67485,31.418764,81.209999,54.806332
49.596954,31.704931,81.489998,54.27813
49.840363,31.014191,81.690002,54.542229
49.402229,30.964848,80.730003,54.591141
49.616425,31.172073,81.339996,54.884586
48.555164,30.550407,79.830002,53.98468
48.973827,31.033924,81.0,54.014027
48.448063,30.165567,79.629997,53.065208
47.737309,29.810329,78.120003,52.429401
47.795734,29.810329,77.489998,52.732635
48.652534,30.53067,78.529999,53.789047
48.993301,30.491199,78.599998,53.965115
50.288239,31.339823,79.779999,54.894367
50.80426,31.922016,80.870003,56.068161
53.871216,32.553551,82.769997,56.870251
55.497185,33.264027,84.199997,56.527901
55.711384,33.481113,84.639999,56.55724
56.207935,33.609394,84.910004,57.26152
56.188465,33.431778,84.580002,57.056107
55.448502,32.86932,84.25,56.576801
56.334511,33.569927,84.519997,57.496273
56.850536,34.349476,85.75,58.405968
56.519497,34.23106,85.489998,59.30587
55.935318,33.303497,84.519997,58.748322
56.577915,33.579792,85.169998,59.638447
56.889477,33.925163,89.239998,60.039494
56.636333,33.915291,88.279999,60.323154
56.227409,33.037071,87.559998,58.983078
56.704491,33.520588,87.970001,59.560192
56.324768,33.540325,88.029999,59.472164
55.214825,32.967991,86.860001,57.877758
55.604282,32.622627,87.940002,59.296085
56.207935,33.323231,89.610001,59.217842
56.753174,33.727806,88.860001,60.548138
56.008736,33.46138,87.940002,60.714424
56.478905,33.500851,88.309998,60.978523
56.616035,34.329739,88.5,61.115471
56.547474,34.290264,87.790001,60.831802
55.998943,33.557949,85.68,59.755825
55.29369,33.399609,84.639999,59.364563
55.43082,33.597534,84.120003,58.983078
55.460209,33.637119,84.790001,59.931896
53.67749,31.806324,82.07,58.816792
54.118271,32.00425,83.449997,60.039494
53.922371,31.82612,82.349998,60.147091
54.245609,31.984455,82.580002,61.271973
53.765648,31.410479,81.5,61.027435
53.16814,30.638577,81.739998,60.9389
53.706879,30.975044,82.970001,61.597965
52.952648,29.609373,81.879997,59.689629
52.893879,29.193733,80.910004,60.358536
53.011417,28.867159,80.790001,59.601097
52.776337,28.431726,79.900002,59.069912
52.120056,28.115051,79.25,58.302643
51.943745,27.877541,79.470001,57.820641
50.445087,26.9473,77.650002,57.250107
51.032791,26.917614,77.720001,58.105907
53.197525,28.81768,80.519997,59.866692
53.814621,30.044806,81.849998,60.604454
53.569744,30.064596,82.959999,59.955227
53.941959,30.598991,83.269997,59.54208
53.608925,30.440653,82.669998,59.650284
53.755852,30.26252,82.769997,59.768322
54.314175,30.777122,83.790001,59.965061
55.362259,32.74646,87.110001,61.145477
54.843117,32.340721,87.120003,62.089806
54.529667,32.221966,86.769997,61.499599
54.882294,32.182381,87.400002,61.912743
55.205536,32.865215,88.660004,61.834049
54.823524,31.816223,87.139999,59.728981
54.843117,31.242243,86.720001,61.066784
54.921474,31.489647,86.550003,61.401234
54.774544,30.935459,85.059998,60.92907
55.225124,31.133383,85.330002,60.899559
55.656116,31.816223,86.43,62.079971
55.587547,32.271446,87.550003,62.866913
56.606239,32.538647,88.449997,62.670174
57.340878,31.855806,88.870003,62.060295
57.938385,32.380302,90.669998,62.798058
