name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dallas,1/1/17,18.5,8.5,13.0,18.5,7.7,12.7,9.0,77.8,2.2,100,12.5,rain,0.0,0.0,,23.4,193.8,1010.5,56.7,13.0,141.0,12.2,6,,2017-01-01T07:29:48,2017-01-01T17:32:15,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/2/17,22.1,13.6,17.7,22.1,13.6,17.7,10.9,68.1,9.75,100,12.5,rain,0.0,0.0,56.0,22.4,221.6,1009.1,54.8,13.4,148.4,12.8,6,,2017-01-02T07:29:59,2017-01-02T17:33:00,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/3/17,15.9,4.2,9.8,15.9,-0.2,7.8,3.3,64.1,0.0,0,0.0,,0.0,0.0,50.0,29.8,305.1,1016.5,74.5,15.9,151.9,13.0,6,,2017-01-03T07:30:08,2017-01-03T17:33:46,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/4/17,4.2,0.0,2.3,4.2,-5.7,-1.3,-6.4,52.9,0.0,0,0.0,,0.0,0.0,29.5,27.3,204.5,1020.9,61.0,16.0,98.6,8.5,4,,2017-01-04T07:30:16,2017-01-04T17:34:33,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/5/17,4.1,-2.3,1.8,0.1,-8.3,-2.6,-4.1,66.5,0.0,0,0.0,,0.0,0.0,47.2,34.0,183.9,1016.7,68.3,14.5,122.3,10.5,5,,2017-01-05T07:30:21,2017-01-05T17:35:22,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/6/17,-2.9,-6.6,-4.4,-8.9,-13.1,-11.1,-10.9,61.1,0.46,100,8.33,snow,0.0,0.0,42.5,29.1,197.5,1027.7,71.2,14.8,96.9,8.3,4,,2017-01-06T07:30:25,2017-01-06T17:36:11,0.28,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"KDAL,72259903971,72258013960"
Dallas,1/7/17,3.2,-9.3,-3.6,3.2,-14.3,-6.3,-11.4,57.7,0.0,0,0.0,,0.0,0.0,,14.0,222.8,1039.9,8.0,15.8,168.8,14.7,7,,2017-01-07T07:30:28,2017-01-07T17:37:00,0.35,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/8/17,8.7,-4.0,2.6,5.5,-7.7,-0.8,-11.0,39.5,0.0,0,0.0,,0.0,0.0,47.9,31.8,181.8,1036.1,22.7,15.9,164.1,14.2,6,,2017-01-08T07:30:28,2017-01-08T17:37:51,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/9/17,19.4,2.5,11.1,19.4,-1.7,9.3,4.2,63.6,0.0,0,0.0,,0.0,0.0,57.0,36.0,174.5,1023.5,37.7,16.0,141.1,12.1,6,,2017-01-09T07:30:27,2017-01-09T17:38:42,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/10/17,25.7,16.4,19.3,25.7,16.4,19.3,9.9,58.0,0.0,0,0.0,,0.0,0.0,61.9,26.5,216.0,1013.4,51.9,16.0,150.2,13.0,6,,2017-01-10T07:30:23,2017-01-10T17:39:35,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/11/17,25.5,16.2,20.5,25.5,16.2,20.5,14.2,68.7,0.0,0,0.0,,0.0,0.0,56.4,39.6,185.8,1011.3,36.2,16.0,146.4,12.4,6,,2017-01-11T07:30:18,2017-01-11T17:40:27,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/12/17,25.0,8.8,19.1,25.0,6.8,19.0,12.1,64.5,0.0,0,0.0,,0.0,0.0,48.1,28.3,193.7,1017.0,65.9,15.8,128.9,11.2,5,,2017-01-12T07:30:12,2017-01-12T17:41:21,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/13/17,11.2,5.5,8.6,11.2,2.1,6.8,4.1,75.1,2.83,100,20.83,rain,0.0,0.0,,20.5,277.1,1027.3,88.7,11.0,66.3,5.5,3,,2017-01-13T07:30:03,2017-01-13T17:42:15,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/14/17,7.7,4.2,5.9,6.2,0.6,3.3,5.1,94.4,0.0,0,0.0,,0.0,0.0,,17.0,326.5,1029.1,85.1,3.8,81.1,6.9,3,,2017-01-14T07:29:53,2017-01-14T17:43:09,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/15/17,18.9,7.1,11.9,18.9,5.4,11.5,11.2,95.7,28.16,100,37.5,rain,0.0,0.0,76.0,50.6,146.1,1018.4,61.5,3.2,101.3,8.7,4,,2017-01-15T07:29:40,2017-01-15T17:44:04,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/16/17,18.5,9.6,13.4,18.5,8.3,13.3,9.3,78.4,4.71,100,8.33,rain,0.0,0.0,,17.4,202.0,1014.9,43.7,12.0,150.9,12.9,6,,2017-01-16T07:29:27,2017-01-16T17:44:59,0.6,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/17/17,10.7,7.1,9.2,10.7,4.5,7.8,4.3,72.0,3.61,100,20.83,rain,0.0,0.0,,19.2,257.6,1021.0,68.6,15.9,41.6,3.4,2,,2017-01-17T07:29:11,2017-01-17T17:45:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/18/17,12.0,8.5,10.0,12.0,6.2,9.1,8.7,91.5,7.73,100,25.0,rain,0.0,0.0,,15.2,176.2,1018.2,88.8,11.0,62.0,5.4,3,,2017-01-18T07:28:53,2017-01-18T17:46:51,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDAL,72259903971,72258013960"
Dallas,1/19/17,18.1,9.4,13.0,18.1,8.1,12.8,10.0,82.9,0.0,0,0.0,,0.0,0.0,29.5,27.0,183.3,1007.8,59.0,13.3,156.3,13.5,6,,2017-01-19T07:28:34,2017-01-19T17:47:47,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/20/17,24.2,11.3,16.8,24.2,11.3,16.8,5.1,49.9,0.0,0,0.0,,0.0,0.0,,15.8,210.6,1003.3,28.8,15.9,135.6,11.7,5,,2017-01-20T07:28:13,2017-01-20T17:48:44,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/21/17,21.0,10.4,15.2,21.0,10.4,15.2,10.7,75.7,3.02,100,8.33,rain,0.0,0.0,79.6,22.4,166.4,998.8,47.5,15.7,120.4,10.3,6,,2017-01-21T07:27:50,2017-01-21T17:49:40,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/22/17,18.4,11.0,13.9,18.4,11.0,13.9,3.4,50.2,0.0,0,0.0,,0.0,0.0,72.2,50.4,295.6,1002.7,37.7,16.0,138.5,12.0,6,,2017-01-22T07:27:26,2017-01-22T17:50:37,0.87,Partially cloudy,Partly cloudy throughout the day.,wind,"KDAL,72259903971,72258013960"
Dallas,1/23/17,19.4,5.4,12.3,19.4,3.6,11.7,1.2,49.5,0.0,0,0.0,,0.0,0.0,,21.2,210.3,1012.3,7.1,16.0,175.8,15.3,7,,2017-01-23T07:27:00,2017-01-23T17:51:34,0.91,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/24/17,26.5,10.5,18.3,26.5,10.5,18.3,7.7,51.6,0.0,0,0.0,,0.0,0.0,38.9,22.8,162.3,1003.8,62.8,16.0,162.3,14.1,6,,2017-01-24T07:26:32,2017-01-24T17:52:31,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
