name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,1/1/17,9.7,5.1,8.2,8.9,2.7,6.6,7.4,94.7,16.65,100,87.5,rain,0,0,27.7,13.4,83.1,1019.4,96,5.3,43.6,3.8,2,,2017-01-01T07:42:33,2017-01-01T17:40:13,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/2/17,13.5,9.8,11.6,13.5,8.7,11.5,11,95.9,45.02,100,75,rain,0,0,,12.7,79.2,1019.7,88.3,4.7,52.5,4.4,4,,2017-01-02T07:42:44,2017-01-02T17:40:59,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/3/17,17.8,13,14.9,17.8,13,14.9,12.8,87.3,3.24,100,4.17,rain,0,0,40.9,16.7,219.6,1010.7,69.2,14.1,68.3,5.9,3,,2017-01-03T07:42:52,2017-01-03T17:41:46,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/4/17,12.5,3.9,9.3,12.5,1.1,7.6,3.6,69.3,0,0,0,,0,0,42.9,29.6,305.9,1012.7,41,16,113,9.7,5,,2017-01-04T07:42:59,2017-01-04T17:42:34,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/5/17,12.5,-0.7,6,12.5,-1.8,5.3,-2.1,57.9,0,0,0,,0,0,,17.4,190.8,1013.7,54.1,16,113.8,9.8,5,,2017-01-05T07:43:04,2017-01-05T17:43:23,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/6/17,7.3,-0.4,2,4.5,-5.2,-1.9,-2.5,73,10.38,100,37.5,"rain,snow",0,0,,19.2,323.8,1016.5,86.8,14,45.6,3.8,2,,2017-01-06T07:43:07,2017-01-06T17:44:13,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/7/17,-0.8,-6,-3.6,-6,-13.9,-10.1,-8.1,72,1.63,100,8.33,"rain,snow",0,0,49.5,33,323,1026.5,39.8,14.1,160.9,13.9,6,,2017-01-07T07:43:09,2017-01-07T17:45:04,0.35,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/8/17,1.1,-9.3,-4.3,-2.8,-15.6,-9.2,-13.1,52.4,0,0,0,,0,0,25.9,18,327.9,1038.6,14.6,15.9,138.9,12.1,6,,2017-01-08T07:43:08,2017-01-08T17:45:56,0.4,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/9/17,7,-3.4,1,4.5,-5.5,-0.9,-11.7,41.1,0,0,0,,0,0,27.7,16.2,123.4,1037.7,28.9,16,160.8,14,6,,2017-01-09T07:43:06,2017-01-09T17:46:48,0.44,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/10/17,13.8,-0.4,6.8,13.8,-2.8,5.7,-2.5,52,0,0,0,,0,0,44.6,23.3,132.1,1030.1,59,16,143.8,12.4,6,,2017-01-10T07:43:01,2017-01-10T17:47:41,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/11/17,19.6,12,15,19.6,12,15,7.9,62.6,0,0,0,,0,0,34.6,19.1,163.5,1025.1,72.7,16,108.6,9.5,5,,2017-01-11T07:42:55,2017-01-11T17:48:35,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/12/17,22.5,8.8,15.5,22.5,8.8,15.5,9.9,70.5,0,0,0,,0,0,27.7,19.5,179.6,1026.8,40.2,15.9,147.8,12.7,6,,2017-01-12T07:42:47,2017-01-12T17:49:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/13/17,22.8,10.2,16,22.8,10.2,16,12,79.1,0,0,0,,0,0,,10.4,240.1,1030.9,48.7,15.5,143.5,12.5,6,,2017-01-13T07:42:38,2017-01-13T17:50:25,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,72219503888,72219653863,KATL,KPDK"
atlanta,1/14/17,23.2,9.9,15.9,23.2,9.9,15.9,11.3,76.9,0,0,0,,0,0,,8,106.5,1030,38.1,13.3,133.3,11.5,6,,2017-01-14T07:42:26,2017-01-14T17:51:21,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/15/17,22.6,8.7,15.1,22.6,8.7,15.1,9.1,70.8,0,0,0,,0,0,,10.9,183.1,1025.6,30.1,14.2,110.7,9.5,5,,2017-01-15T07:42:13,2017-01-15T17:52:17,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/16/17,21.1,9.3,14.6,21.1,9.3,14.6,10.3,76.5,0,0,0,,0,0,,11.8,71.2,1024.4,55.2,15,138.4,11.9,6,,2017-01-16T07:41:57,2017-01-16T17:53:13,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/17/17,23.4,11.7,17.2,23.4,11.7,17.2,12.4,75.4,0,0,0,,0,0,37,23.1,167,1021.8,56.8,13.7,102.4,8.8,4,,2017-01-17T07:41:40,2017-01-17T17:54:10,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/18/17,21.3,14.7,17.8,21.3,14.7,17.8,12.2,71.2,0,0,0,,0,0,37.1,19.7,266.3,1019.1,50.7,15.9,122.3,10.6,5,,2017-01-18T07:41:21,2017-01-18T17:55:08,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/19/17,22.8,11.3,16.6,22.8,11.3,16.6,10.5,69.3,4.07,100,8.33,rain,0,0,29.5,16,124.3,1014.9,54.9,15.9,111.3,9.5,4,,2017-01-19T07:41:01,2017-01-19T17:56:06,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/20/17,23,14.6,18.5,23,14.6,18.5,13.9,76.5,6.5,100,8.33,rain,0,0,41.5,22.4,223.2,1009.9,58.3,15.2,133,11.4,6,,2017-01-20T07:40:38,2017-01-20T17:57:04,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/21/17,17.1,13.6,15.4,17.1,13.6,15.4,14,91.4,42.52,100,29.17,rain,0,0,55.4,36.2,117.8,1006.7,73.7,9.6,44.5,3.9,2,,2017-01-21T07:40:14,2017-01-21T17:58:02,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
